bigram,frequency
universidad politecnico,5
depender carrera,3
politecnico salesián,3
probar acceso,3
querer hacer,3
si ir,3
si poder,3
universidad ecuador,3
universidad salesián,3
universidad si,3
valenciano castellano,3
acceso universidad,2
algun ayudante,2
decir si,2
ecuador universidad,2
entrar grado,2
escuela politecnico,2
estudiar ahi,2
examen admision,2
hacer carrera,2
hacer prueba,2
hacer valenciano,2
haz contacto,2
hojo vida,2
ir estudiar,2
mejor pais,2
mejor universidad,2
mucho gracia,2
necesitar algun,2
poder dar,2
poder entrar,2
poder estudiar,2
prueba acceso,2
quito estar,2
salario minimo,2
salesiana mundo,2
san francisco,2
sede sur,2
servicio social,2
si bien,2
si querer,2
todo universidad,2
universidad buen,2
universidad mejor,2
universidad poder,2
universidad privado,2
universidad salesiana,2
vida laboral,2
abrir puerta,1
acabar graduar,1
acceso aunque,1
acceso hecho,1
acceso programa,1
acceso requerimiento,1
acceso valencia,1
acceso visto,1
aclar direccion,1
activo fijo,1
actual gracias,1
adema ambiente,1
adema ejercito,1
adema recibir,1
adema tener,1
admision ahi,1
adquirir experiencia,1
africo americo,1
afín gente,1
agradable profesor,1
ah consideracion,1
ahi ano,1
ahi esperar,1
ahi hecho,1
ahi invertir,1
ahi jajar,1
ahi sal,1
ahi vida,1
ahora estudio,1
alguien decir,1
alguien ser,1
algun estigma,1
algun profe,1
algun proyecto,1
algun tema,1
alimento empresa,1
alla tema,1
alla vivo,1
alli acceso,1
alli dar,1
alli universidad,1
alto demanda,1
alto soldado,1
alto universidad,1
alumno llegado,1
ambiente social,1
ambiguo decir,1
ameno falso,1
americo ser,1
amigo ninguno,1
amistad lugar,1
amistadser psicologo,1
anatomio estudiar,1
anda brother,1
andar ejercito,1
andar salesián,1
anio experiencia,1
ano estancia,1
ano experiencia,1
ano luego,1
ano pregrado,1
ano universidad,1
antropologio etico,1
aparte comida,1
aparte san,1
apasionir si,1
aplicar conocimiento,1
aplicar red,1
apps etc,1
aprendar finanza,1
aprender habilidad,1
aprender nuevo,1
aprender ofrecer,1
aprendizaje proyecto,1
aprovech curso,1
aprovechar lugar,1
aqui eeuu,1
aqui ejercito,1
aqui mecatronica,1
area venta,1
areas ciencia,1
argentina opinion,1
arriesgar él,1
aseguro mito,1
asi consejo,1
asi pagar,1
asi tambien,1
asia africo,1
asignacion presupuestario,1
asignado mas,1
asignatura estarir,1
asignatura hacer,1
asignatura valenciano,1
auge menos,1
aun visitar,1
aunq existir,1
aunque aclar,1
aunque tiempo,1
australia europa,1
automatizacion manufactura,1
averiguar carrera,1
ayuda carrera,1
ayuda hojo,1
ayudante estilo,1
ayudante nano,1
ayudar costo,1
ayudar odio,1
ayudarte conseguir,1
ayudo ojala,1
bachiller decir,1
bachillerato titulo,1
basicamente ayudo,1
basico informacion,1
bastante contacto,1
bastante duro,1
bastante profesional,1
beca cer,1
beneficio cadete,1
beneficio oportunidad,1
biblioteco completo,1
bien aprender,1
bien chris,1
bien enrriquecedorar,1
bien materia,1
bien privado,1
bien verdad,1
blue card,1
bonito universidad,1
brother guatemala,1
buen bastante,1
buen conciencia,1
buen profesional,1
buen relacion,1
buen video,1
buena mala,1
bueno ah,1
bueno gente,1
buscar gusta,1
buscar pasantia,1
buscar trabajo,1
caber espacio,1
cabezar siempre,1
cada persona,1
cada semestre,1
cada universidad,1
cadete recien,1
calidad hacer,1
campo cual,1
campo laboral,1
campus universidad,1
canado australia,1
capacitado adema,1
capaz estricto,1
capo universidad,1
cara depender,1
cara poner,1
cara si,1
cara solo,1
card carrera,1
carrera afín,1
carrera alto,1
carrera cuanto,1
carrera ejemplo,1
carrera espol,1
carrera fisioterapia,1
carrera ing,1
carrera ingenieria,1
carrera ingenierio,1
carrera menos,1
carrera obvio,1
carrera recorrer,1
carrera tanto,1
carrera valenciano,1
carrero decidir,1
carrero haz,1
casi ano,1
casi clase,1
caso frustrante,1
caso ingl,1
castellano aunque,1
castellano hacer,1
castellano indistintir,1
castellano ingl,1
catolico aseguro,1
catolico ir,1
catolico mayor,1
catolico universidad,1
ced país,1
cer universidad,1
certificado tambien,1
chri excelente,1
chris felicitación,1
chuto si,1
ciencia tecnologia,1
cierto estudiante,1
cierto narrativo,1
circulo amigo,1
claro depender,1
claro igual,1
clase ensenar,1
colaborar estudiante,1
coliseo laboratorio,1
comentado umet,1
comentario tratar,1
comida precio,1
comida residencia,1
comparandola universidad,1
comparar ingreso,1
complejo ambiguo,1
completo adema,1
complicado encontrar,1
complicado gente,1
comun resto,1
comunical algun,1
comunidad mas,1
comunidad pais,1
comunidad venir,1
