Comentario,Emocion_Predicha,Confianza
la universidad si bien es privada no solo se financia por el pago de los estudiantes la universidad recibe una asignacion presupuestaria del estado ecuatoriano ademas de recibir fondos de la iglesia catolica la universidad politecnica salesiana de ecuador pertenece a la red ius institutos y universidades salesianas del mundo es decir un estudiante alli tienes acceso a programas de intercambio con otras universidades salesianas del mundo porque si la universidad salesiana tiene cedes en paises tanto en europa asia africa y america siendo su principal la universidad politecnica salesiana de italia existen programas de verano donde los estudiantes pueden estudiar uno o semestres en otra universidad fuera de ecuador la universidad salesiana junto con la universidad catolica son las que tienen la mayor red de universidad en el mundo y por ende los estudiantes tienen a multiples programas internacionales de educacion superior de alli porque esta universidad es una de las mejores del pais en ecuador la universidad politecnica salesiana tiene sedes cuenca guayaquil y quitoen quito tiene campus,1 star,0.7263860944030202
gran video cris y eso q te falto conocer el coliseo los laboratorios la biblioteca es muy completa ademas de tener la sede sur que no le pide nada a las otras universidades pagadas debes conocer la sede sur,1 star,0.8663707469492191
felicitaciones chris otro excelente video bonita universidad,5 stars,0.5064651001333604
linda universidad el precio de deberia ser el precio maximo por semestre en todas las universidades del ecuador no puede ser un negocio el estado debe regular y controlar los precios,1 star,0.35085910998525766
muy bien chris felicitaciones y exitos en tus trabajos,5 stars,0.8455335120331078
yo tambien soy salesiana me gradue hace anos de pregrado gracias a la beca cers de la universidad pude lograrlo y ahora estudio mi maestria en la sale mismo es un universidad muy buena y con conciencia social,5 stars,0.5555846894414962
excelente te falta aun visitar el campus de la universidad salesiana del sur de quito donde estan las carreras de ingenieria,1 star,0.6702153687898025
cuesta un poco menos que la mitad de mi sueldo actual todo gracias a la sale que en la modalidad de horario vespertino me permitio trabajar desde que estaba en to semestre ya sali de la u con dos anios de experiencia trabajando basicamente y eso me ayudo mucho ojala sigan manteniendo esa flexibilidad de horarios que permiten obtener experiencia laboral antes de egresar,1 star,0.6284750195384607
todas las universidades en quito estan muy caras poniendose a comparar el ingreso por cada persona y los precios en cada universidad esto es una locura aqui en eeuu tambien hay las universidades mas economicas que han de ser unos por semestre pero el salario minimo es como veces el salario minimo del ecuador los activos fijos la comida todo precio esta inflado en ecuador,1 star,0.40859041326709067
muy buen video me han comentado que la umet tambien esta dentro de ese rango conjuntamente con la salesiana y la israel saludos,5 stars,0.5032603198001819
a cuanto cuesta el semestre,5 stars,0.6238609304648316
que sede es disculpe,1 star,0.4234327934904523
hay examen de ingreso,5 stars,0.42030528460410865
hola me puedes ayudar con el costo final por fa de cada semestre,5 stars,0.4385214470707227
