Comment,tokens,idioma,tokens_sin_stopwords,tokens_lemmatized
la universidad si bien es privada no solo se financia por el pago de los estudiantes la universidad recibe una asignacion presupuestaria del estado ecuatoriano ademas de recibir fondos de la iglesia catolica la universidad politecnica salesiana de ecuador pertenece a la red ius institutos y universidades salesianas del mundo es decir un estudiante alli tienes acceso a programas de intercambio con otras universidades salesianas del mundo porque si la universidad salesiana tiene cedes en paises tanto en europa asia africa y america siendo su principal la universidad politecnica salesiana de italia existen programas de verano donde los estudiantes pueden estudiar uno o semestres en otra universidad fuera de ecuador la universidad salesiana junto con la universidad catolica son las que tienen la mayor red de universidad en el mundo y por ende los estudiantes tienen a multiples programas internacionales de educacion superior de alli porque esta universidad es una de las mejores del pais en ecuador la universidad politecnica salesiana tiene sedes cuenca guayaquil y quitoen quito tiene campus,"['la', 'universidad', 'si', 'bien', 'es', 'privada', 'no', 'solo', 'se', 'financia', 'por', 'el', 'pago', 'de', 'los', 'estudiantes', 'la', 'universidad', 'recibe', 'una', 'asignacion', 'presupuestaria', 'del', 'estado', 'ecuatoriano', 'ademas', 'de', 'recibir', 'fondos', 'de', 'la', 'iglesia', 'catolica', 'la', 'universidad', 'politecnica', 'salesiana', 'de', 'ecuador', 'pertenece', 'a', 'la', 'red', 'ius', 'institutos', 'y', 'universidades', 'salesianas', 'del', 'mundo', 'es', 'decir', 'un', 'estudiante', 'alli', 'tienes', 'acceso', 'a', 'programas', 'de', 'intercambio', 'con', 'otras', 'universidades', 'salesianas', 'del', 'mundo', 'porque', 'si', 'la', 'universidad', 'salesiana', 'tiene', 'cedes', 'en', 'paises', 'tanto', 'en', 'europa', 'asia', 'africa', 'y', 'america', 'siendo', 'su', 'principal', 'la', 'universidad', 'politecnica', 'salesiana', 'de', 'italia', 'existen', 'programas', 'de', 'verano', 'donde', 'los', 'estudiantes', 'pueden', 'estudiar', 'uno', 'o', 'semestres', 'en', 'otra', 'universidad', 'fuera', 'de', 'ecuador', 'la', 'universidad', 'salesiana', 'junto', 'con', 'la', 'universidad', 'catolica', 'son', 'las', 'que', 'tienen', 'la', 'mayor', 'red', 'de', 'universidad', 'en', 'el', 'mundo', 'y', 'por', 'ende', 'los', 'estudiantes', 'tienen', 'a', 'multiples', 'programas', 'internacionales', 'de', 'educacion', 'superior', 'de', 'alli', 'porque', 'esta', 'universidad', 'es', 'una', 'de', 'las', 'mejores', 'del', 'pais', 'en', 'ecuador', 'la', 'universidad', 'politecnica', 'salesiana', 'tiene', 'sedes', 'cuenca', 'guayaquil', 'y', 'quitoen', 'quito', 'tiene', 'campus']",es,"['universidad', 'si', 'bien', 'privada', 'solo', 'financia', 'pago', 'estudiantes', 'universidad', 'recibe', 'asignacion', 'presupuestaria', 'ecuatoriano', 'ademas', 'recibir', 'fondos', 'iglesia', 'catolica', 'universidad', 'politecnica', 'salesiana', 'ecuador', 'pertenece', 'red', 'ius', 'institutos', 'universidades', 'salesianas', 'mundo', 'decir', 'estudiante', 'alli', 'acceso', 'programas', 'intercambio', 'universidades', 'salesianas', 'mundo', 'si', 'universidad', 'salesiana', 'cedes', 'paises', 'europa', 'asia', 'africa', 'america', 'siendo', 'principal', 'universidad', 'politecnica', 'salesiana', 'italia', 'existen', 'programas', 'verano', 'estudiantes', 'pueden', 'estudiar', 'semestres', 'universidad', 'ecuador', 'universidad', 'salesiana', 'junto', 'universidad', 'catolica', 'mayor', 'red', 'universidad', 'mundo', 'ende', 'estudiantes', 'multiples', 'programas', 'internacionales', 'educacion', 'superior', 'alli', 'universidad', 'mejores', 'pais', 'ecuador', 'universidad', 'politecnica', 'salesiana', 'sedes', 'cuenca', 'guayaquil', 'quitoen', 'quito', 'campus']","['universidad', 'si', 'bien', 'privado', 'solo', 'financia', 'pago', 'estudiant', 'universidad', 'recibir', 'asignacion', 'presupuestario', 'ecuatoriano', 'adema', 'recibir', 'fondo', 'iglesia', 'catolico', 'universidad', 'politecnico', 'salesián', 'ecuador', 'pertenecer', 'red', 'ius', 'instituto', 'universidad', 'salesiana', 'mundo', 'decir', 'estudiante', 'alli', 'acceso', 'programa', 'intercambio', 'universidad', 'salesiana', 'mundo', 'si', 'universidad', 'salesián', 'ced', 'país', 'europa', 'asia', 'africo', 'americo', 'ser', 'principal', 'universidad', 'politecnico', 'salesián', 'italia', 'existir', 'programa', 'verano', 'estudiant', 'poder', 'estudiar', 'semestre', 'universidad', 'ecuador', 'universidad', 'salesián', 'junto', 'universidad', 'catolico', 'mayor', 'red', 'universidad', 'mundo', 'ende', 'estudiante', 'multipl', 'programa', 'internacional', 'educacion', 'superior', 'alli', 'universidad', 'mejor', 'pais', 'ecuador', 'universidad', 'politecnico', 'salesián', 'sed', 'cuencar', 'guayaquil', 'quitoen', 'quito', 'campus']"
gran video cris y eso q te falto conocer el coliseo los laboratorios la biblioteca es muy completa ademas de tener la sede sur que no le pide nada a las otras universidades pagadas debes conocer la sede sur,"['gran', 'video', 'cris', 'y', 'eso', 'q', 'te', 'falto', 'conocer', 'el', 'coliseo', 'los', 'laboratorios', 'la', 'biblioteca', 'es', 'muy', 'completa', 'ademas', 'de', 'tener', 'la', 'sede', 'sur', 'que', 'no', 'le', 'pide', 'nada', 'a', 'las', 'otras', 'universidades', 'pagadas', 'debes', 'conocer', 'la', 'sede', 'sur']",es,"['gran', 'video', 'cris', 'q', 'falto', 'conocer', 'coliseo', 'laboratorios', 'biblioteca', 'completa', 'ademas', 'tener', 'sede', 'sur', 'pide', 'universidades', 'pagadas', 'debes', 'conocer', 'sede', 'sur']","['gran', 'video', 'cris', 'q', 'falto', 'conocer', 'coliseo', 'laboratorio', 'biblioteco', 'completo', 'adema', 'tener', 'sede', 'sur', 'pedir', 'universidad', 'pagado', 'deber', 'conocer', 'sede', 'sur']"
felicitaciones chris otro excelente video bonita universidad,"['felicitaciones', 'chris', 'otro', 'excelente', 'video', 'bonita', 'universidad']",es,"['felicitaciones', 'chris', 'excelente', 'video', 'bonita', 'universidad']","['felicitación', 'chri', 'excelente', 'video', 'bonito', 'universidad']"
linda universidad el precio de deberia ser el precio maximo por semestre en todas las universidades del ecuador no puede ser un negocio el estado debe regular y controlar los precios,"['linda', 'universidad', 'el', 'precio', 'de', 'deberia', 'ser', 'el', 'precio', 'maximo', 'por', 'semestre', 'en', 'todas', 'las', 'universidades', 'del', 'ecuador', 'no', 'puede', 'ser', 'un', 'negocio', 'el', 'estado', 'debe', 'regular', 'y', 'controlar', 'los', 'precios']",es,"['linda', 'universidad', 'precio', 'deberia', 'ser', 'precio', 'maximo', 'semestre', 'todas', 'universidades', 'ecuador', 'puede', 'ser', 'negocio', 'debe', 'regular', 'controlar', 'precios']","['lindo', 'universidad', 'precio', 'deberio', 'ser', 'precio', 'maximo', 'semestre', 'todo', 'universidad', 'ecuador', 'poder', 'ser', 'negocio', 'deber', 'regular', 'controlar', 'precio']"
muy bien chris felicitaciones y exitos en tus trabajos,"['muy', 'bien', 'chris', 'felicitaciones', 'y', 'exitos', 'en', 'tus', 'trabajos']",es,"['bien', 'chris', 'felicitaciones', 'exitos', 'trabajos']","['bien', 'chris', 'felicitación', 'exito', 'trabajo']"
yo tambien soy salesiana me gradue hace anos de pregrado gracias a la beca cers de la universidad pude lograrlo y ahora estudio mi maestria en la sale mismo es un universidad muy buena y con conciencia social,"['yo', 'tambien', 'soy', 'salesiana', 'me', 'gradue', 'hace', 'anos', 'de', 'pregrado', 'gracias', 'a', 'la', 'beca', 'cers', 'de', 'la', 'universidad', 'pude', 'lograrlo', 'y', 'ahora', 'estudio', 'mi', 'maestria', 'en', 'la', 'sale', 'mismo', 'es', 'un', 'universidad', 'muy', 'buena', 'y', 'con', 'conciencia', 'social']",es,"['tambien', 'salesiana', 'gradue', 'hace', 'anos', 'pregrado', 'gracias', 'beca', 'cers', 'universidad', 'pude', 'lograrlo', 'ahora', 'estudio', 'maestria', 'sale', 'mismo', 'universidad', 'buena', 'conciencia', 'social']","['tambien', 'salesián', 'gradue', 'hacer', 'ano', 'pregrado', 'gracias', 'beca', 'cer', 'universidad', 'poder', 'lograr él', 'ahora', 'estudio', 'maestrio', 'salir', 'mismo', 'universidad', 'buen', 'conciencia', 'social']"
excelente te falta aun visitar el campus de la universidad salesiana del sur de quito donde estan las carreras de ingenieria,"['excelente', 'te', 'falta', 'aun', 'visitar', 'el', 'campus', 'de', 'la', 'universidad', 'salesiana', 'del', 'sur', 'de', 'quito', 'donde', 'estan', 'las', 'carreras', 'de', 'ingenieria']",es,"['excelente', 'falta', 'aun', 'visitar', 'campus', 'universidad', 'salesiana', 'sur', 'quito', 'estan', 'carreras', 'ingenieria']","['excelente', 'falta', 'aun', 'visitar', 'campus', 'universidad', 'salesián', 'sur', 'quito', 'estar', 'carrera', 'ingenierio']"
cuesta un poco menos que la mitad de mi sueldo actual todo gracias a la sale que en la modalidad de horario vespertino me permitio trabajar desde que estaba en to semestre ya sali de la u con dos anios de experiencia trabajando basicamente y eso me ayudo mucho ojala sigan manteniendo esa flexibilidad de horarios que permiten obtener experiencia laboral antes de egresar,"['cuesta', 'un', 'poco', 'menos', 'que', 'la', 'mitad', 'de', 'mi', 'sueldo', 'actual', 'todo', 'gracias', 'a', 'la', 'sale', 'que', 'en', 'la', 'modalidad', 'de', 'horario', 'vespertino', 'me', 'permitio', 'trabajar', 'desde', 'que', 'estaba', 'en', 'to', 'semestre', 'ya', 'sali', 'de', 'la', 'u', 'con', 'dos', 'anios', 'de', 'experiencia', 'trabajando', 'basicamente', 'y', 'eso', 'me', 'ayudo', 'mucho', 'ojala', 'sigan', 'manteniendo', 'esa', 'flexibilidad', 'de', 'horarios', 'que', 'permiten', 'obtener', 'experiencia', 'laboral', 'antes', 'de', 'egresar']",es,"['cuesta', 'menos', 'mitad', 'sueldo', 'actual', 'gracias', 'sale', 'modalidad', 'horario', 'vespertino', 'permitio', 'trabajar', 'to', 'semestre', 'sali', 'u', 'dos', 'anios', 'experiencia', 'trabajando', 'basicamente', 'ayudo', 'ojala', 'sigan', 'manteniendo', 'flexibilidad', 'horarios', 'permiten', 'obtener', 'experiencia', 'laboral', 'egresar']","['costar', 'menos', 'mitad', 'sueldo', 'actual', 'gracias', 'salir', 'modalidad', 'horario', 'vespertino', 'permitio', 'trabajar', 'to', 'semestre', 'sali', 'u', 'dos', 'anio', 'experiencia', 'trabajar', 'basicamente', 'ayudo', 'ojala', 'seguir', 'mantener', 'flexibilidad', 'horario', 'permitir', 'obtener', 'experiencia', 'laboral', 'egresar']"
todas las universidades en quito estan muy caras poniendose a comparar el ingreso por cada persona y los precios en cada universidad esto es una locura aqui en eeuu tambien hay las universidades mas economicas que han de ser unos por semestre pero el salario minimo es como veces el salario minimo del ecuador los activos fijos la comida todo precio esta inflado en ecuador,"['todas', 'las', 'universidades', 'en', 'quito', 'estan', 'muy', 'caras', 'poniendose', 'a', 'comparar', 'el', 'ingreso', 'por', 'cada', 'persona', 'y', 'los', 'precios', 'en', 'cada', 'universidad', 'esto', 'es', 'una', 'locura', 'aqui', 'en', 'eeuu', 'tambien', 'hay', 'las', 'universidades', 'mas', 'economicas', 'que', 'han', 'de', 'ser', 'unos', 'por', 'semestre', 'pero', 'el', 'salario', 'minimo', 'es', 'como', 'veces', 'el', 'salario', 'minimo', 'del', 'ecuador', 'los', 'activos', 'fijos', 'la', 'comida', 'todo', 'precio', 'esta', 'inflado', 'en', 'ecuador']",es,"['todas', 'universidades', 'quito', 'estan', 'caras', 'poniendose', 'comparar', 'ingreso', 'cada', 'persona', 'precios', 'cada', 'universidad', 'locura', 'aqui', 'eeuu', 'tambien', 'universidades', 'mas', 'economicas', 'ser', 'semestre', 'salario', 'minimo', 'veces', 'salario', 'minimo', 'ecuador', 'activos', 'fijos', 'comida', 'precio', 'inflado', 'ecuador']","['todo', 'universidad', 'quito', 'estar', 'cara', 'poner él', 'comparar', 'ingreso', 'cada', 'persona', 'precio', 'cada', 'universidad', 'locuro', 'aqui', 'eeuu', 'tambien', 'universidad', 'mas', 'economica', 'ser', 'semestrar', 'salario', 'minimo', 'vez', 'salario', 'minimo', 'ecuador', 'activo', 'fijo', 'comida', 'precio', 'inflado', 'ecuador']"
muy buen video me han comentado que la umet tambien esta dentro de ese rango conjuntamente con la salesiana y la israel saludos,"['muy', 'buen', 'video', 'me', 'han', 'comentado', 'que', 'la', 'umet', 'tambien', 'esta', 'dentro', 'de', 'ese', 'rango', 'conjuntamente', 'con', 'la', 'salesiana', 'y', 'la', 'israel', 'saludos']",es,"['buen', 'video', 'comentado', 'umet', 'tambien', 'dentro', 'rango', 'conjuntamente', 'salesiana', 'israel', 'saludos']","['buen', 'video', 'comentado', 'umet', 'tambien', 'dentro', 'ranguir', 'conjuntamente', 'salesián', 'israel', 'saludo']"
