Palabra,Frecuencia
universidad,43
si,37
hacer,19
poder,19
valenciano,17
ir,16
carrera,15
decir,11
politecnico,11
salesián,11
depender,10
ser,10
querer,9
acceso,8
dar,8
ecuador,8
estudiar,8
gracias,8
mejor,8
trabajar,8
ahi,7
menos,7
no,7
tambien,7
algun,6
bien,6
entrar,6
mas,6
mucho,6
precio,6
semestre,6
ano,5
buen,5
castellano,5
contacto,5
estudiante,5
experiencia,5
luego,5
opinion,5
privado,5
profesor,5
quito,5
saber,5
situacion,5
tanto,5
vida,5
él,5
adema,4
cara,4
catolico,4
conocer,4
consejo,4
dificil,4
estar,4
examen,4
existir,4
ingreso,4
laboral,4
mecatronico,4
profesional,4
social,4
solo,4
tal,4
ups,4
alli,3
alto,3
aprender,3
aqui,3
asi,3
asignatura,3
bastante,3
buscar,3
cada,3
comunidad,3
cosa,3
costar,3
deber,3
dinero,3
ejercito,3
escuela,3
etc,3
europa,3
gente,3
grado,3
graduado,3
hablar,3
haz,3
laboratorio,3
mal,3
materia,3
mismo,3
mundo,3
nacional,3
ninguno,3
oportunidad,3
pagar,3
pais,3
pensar,3
permitir,3
probar,3
programa,3
proyecto,3
prueba,3
quieras,3
recibir,3
red,3
salir,3
saludo,3
san,3
sede,3
servicio,3
suerte,3
sur,3
tema,3
tiempo,3
todo,3
trabajo,3
vez,3
video,3
actual,2
admision,2
alguien,2
alla,2
andar,2
aparte,2
aplicar,2
aunque,2
ayuda,2
ayudante,2
ayudar,2
beneficio,2
bueno,2
campo,2
campus,2
carrero,2
casi,2
caso,2
cierto,2
claro,2
comida,2
complejo,2
complicado,2
cual,2
cuanto,2
cursar,2
curso,2
deberio,2
demas,2
despu,2
dicho,2
diferente,2
ecuatoriano,2
educacion,2
ejemplo,2
elegir,2
estir,2
estudiant,2
estudio,2
excelente,2
falta,2
familiar,2
felicitación,2
francisco,2
gracia,2
graduar,2
gusto,2
hecho,2
hojo,2
horario,2
igual,2
incluir,2
informacion,2
ingeniero,2
ingl,2
invertir,2
lugar,2
metete,2
militar,2
minimo,2
nano,2
necesitar,2
nota,2
nunca,2
opcion,2
pagado,2
país,2
pena,2
persona,2
personal,2
practica,2
preguntame,2
quer,2
razon,2
realidad,2
recomendario,2
rendir,2
salario,2
salesiana,2
seguir,2
sera,2
serio,2
siempre,2
soler,2
sueldo,2
superior,2
tecnologico,2
tener,2
titulo,2
to,2
tratar,2
tres,2
vas,2
venir,2
ver,2
verdad,2
visto,2
vivo,2
abrir,1
acabar,1
aclar,1
activo,1
adquirir,1
africo,1
afín,1
agradable,1
ah,1
ahora,1
ajajj,1
alimento,1
alumno,1
ambiente,1
ambiguo,1
ameno,1
americo,1
amigo,1
amistad,1
amistadser,1
anatomio,1
anda,1
anio,1
antropologio,1
apasionir,1
apps,1
aprendar,1
aprendizaje,1
aprovech,1
aprovechar,1
area,1
areas,1
argentina,1
arriesgar,1
aseguro,1
asia,1
asignacion,1
asignado,1
auge,1
aun,1
aunq,1
australia,1
automatizacion,1
averiguar,1
ayudarte,1
ayudo,1
bachiller,1
bachillerato,1
basicamente,1
basico,1
beca,1
biblioteco,1
blue,1
bonito,1
brother,1
buena,1
caber,1
cabezar,1
cadete,1
calidad,1
calidadprecio,1
canado,1
capacitado,1
capaz,1
capo,1
card,1
ced,1
cer,1
certificado,1
chri,1
chris,1
chuto,1
ciencia,1
circulo,1
clase,1
colaborar,1
coliseo,1
comentado,1
comentario,1
comparandola,1
comparar,1
completo,1
comun,1
comunical,1
concentrar,1
conciencia,1
confirmar,1
conjuntamente,1
conocido,1
conocimiento,1
conseguir,1
consideracion,1
constar,1
contar,1
contrario,1
controlar,1
converso,1
cool,1
correspondiente,1
costo,1
credito,1
creer,1
cris,1
cualquiera,1
cuencar,1
curiosidad,1
daw,1
debito,1
decia,1
decidir,1
decirte,1
dedicar,1
dej,1
dejar,1
deleted,1
demanda,1
demasiado,1
dentro,1
deparar,1
dependiente,1
derecho,1
desarrollador,1
desea,1
destacar,1
dialogo,1
diferenciar,1
dificultad,1
diosito,1
direccion,1
diria,1
disculpar,1
disculpe,1
dispositivo,1
diz,1
do,1
docente,1
don,1
dos,1
duro,1
economica,1
educativo,1
eeuu,1
egresado,1
egresar,1
elija,1
empresa,1
encontrar,1
ende,1
enrriquecedorar,1
ensenar,1
entender,1
entidad,1
entonces,1
entr,1
escolar,1
espacio,1
espe,1
esperar,1
espol,1
estancia,1
estarir,1
estigma,1
estilo,1
estricto,1
estudie,1
etico,1
evaluar,1
evitar,1
ex,1
excepto,1
exento,1
exito,1
explicar,1
extra,1
falso,1
falto,1
far,1
fatal,1
feo,1
fijo,1
final,1
financia,1
finanza,1
fisico,1
fisioterapia,1
flexibilidad,1
fondo,1
forma,1
fp,1
francico,1
frustrante,1
futuro,1
gana,1
general,1
gradue,1
graduo,1
gran,1
guatemala,1
guayaquil,1
gusta,1
habilidad,1
habl,1
hablo,1
habrar,1
hey,1
hola,1
humanoscreemir,1
idea,1
ideologia,1
iglesia,1
imaginabas,1
imponer,1
importancia,1
importante,1
inclinar,1
inclinaria,1
incluso,1
independiente,1
indistintir,1
industrializacion,1
industrio,1
inflado,1
info,1
ing,1
ingenierar,1
ingenieria,1
ingenierio,1
instalación,1
instituto,1
intentar,1
inter,1
intercambio,1
internacional,1
interpretar,1
irte,1
israel,1
italia,1
ius,1
jaja,1
jajar,1
joder,1
junto,1
largo,1
lindo,1
linea,1
llamar,1
llegado,1
lo,1
locuro,1
lograr,1
luchado,1
maestria,1
maestrio,1
mala,1
malla,1
malo,1
man,1
mantener,1
manufactura,1
maquinario,1
mara,1
marino,1
matematico,1
maximo,1
mayor,1
mayoria,1
mecatronica,1
mecatronicasoy,1
medio,1
mensual,1
metelir,1
metodo,1
ministra,1
mitad,1
mito,1
modalidad,1
momento,1
mostrar,1
multipl,1
nadie,1
narrativo,1
negocio,1
notar,1
noto,1
nuevo,1
obtener,1
obviamente,1
obvio,1
odio,1
oficial,1
ofrecer,1
ojala,1
opcional,1
opción,1
pago,1
panorama,1
pasantia,1
pasion,1
pedir,1
percepcion,1
perdon,1
permitio,1
perspectiva,1
pertenecer,1
pesar,1
piensen,1
plata,1
pod,1
podria,1
politecnicar,1
poner,1
por,1
porcentaje,1
posibilidad,1
posiblemente,1
pregrado,1
pregunta,1
preguntar,1
preguntara,1
prejuicio,1
preparatir,1
prestigiar,1
presupuestario,1
pretensión,1
principal,1
problema,1
profe,1
profesion,1
programacion,1
programacionpagina,1
propio,1
proponer,1
proporciona,1
psicologo,1
publica,1
pueblo,1
puerta,1
punto,1
que,1
quier,1
quitarar,1
quitoen,1
quiza,1
quizas,1
rama,1
rango,1
ranguir,1
realizarar,1
realmente,1
recien,1
recomendación,1
reconocer,1
